"","from","to"
"41","Adelaide Festival Corporation Act 1998","Adelaide Festival Corporation Act 1998"
"42","Adelaide Festival Corporation Act 1998","Adelaide Festival Corporation Act 1998"
"43","Adelaide Festival Corporation Act 1998","Adelaide Festival Corporation Act 1998"
"44","Adelaide Festival Corporation Act 1998","Adelaide Festival Corporation Act 1998"
"45","Adelaide Festival Theatre Act 1964","Adelaide Festival Theatre Act 1964"
"46","Adelaide Festival Theatre Act 1964","Adelaide Festival Theatre Act 1964"
"47","Adelaide Oval Redevelopment and Management Act 2011","Adelaide Oval Redevelopment and Management Act 2011"
"48","Adelaide Oval Redevelopment and Management Act 2011","Adelaide Oval Redevelopment and Management Act 2011"
"49","Adelaide Park Lands Act 2005","Adelaide Park Lands Act 2005"
"50","Adelaide Park Lands Act 2005","Adelaide Park Lands Act 2005"
"51","Adelaide Park Lands Act 2005","Local Government Act 1999"
"52","Adelaide Park Lands Act 2005","City of Adelaide Act 1998"
"53","Adelaide Park Lands Act 2005","Development Act 1993"
"54","Adelaide Park Lands Act 2005","Highways Act 1926"
"55","Adelaide Park Lands Act 2005","Local Government Act 1999"
"56","Adelaide Park Lands Act 2005","South Australian Motor Sport Act 1984"
"57","Adelaide Railway Station Development Act 1984","Adelaide Railway Station Development Act 1984"
"58","Adelaide Railway Station Development Act 1984","Adelaide Railway Station Development Act 1984"
"59","Administration and Probate Act 1919","Administration and Probate Act 1919"
"60","Administration and Probate Act 1919","Administration and Probate Act 1919"
"61","Administration and Probate Act 1919","Justices of the Peace Act 2005"
"62","Administrative Arrangements Act 1994","Administrative Arrangements Act 1994"
"63","Administrative Arrangements Act 1994","Administrative Arrangements Act 1994"
"64","Administrative Arrangements Act 1994","Administrative Arrangements Act 1994"
"65","Adoption Act 1988","Adoption Act 1988"
"66","Adoption Act 1988","Adoption Act 1988"
"67","Adoption Act 1988","Adoption Act 1988"
"68","Adoption Act 1988","Adoption Act 1988"
"69","Adoption Act 1988","Justices of the Peace Act 2005"
"70","Adoption Act 1988","Justices of the Peace Act 2005"
"71","Advance Care Directives Act 2013","Advance Care Directives Act 2013"
"72","Advance Care Directives Act 2013","Advance Care Directives Act 2013"
"73","Advance Care Directives Act 2013","Consent to Medical Treatment and Palliative Care Act 1995"
"74","Advance Care Directives Act 2013","Consent to Medical Treatment and Palliative Care Act 1995"
"75","Advance Care Directives Act 2013","Consent to Medical Treatment and Palliative Care Act 1995"
"76","Advance Care Directives Act 2013","Guardianship and Administration Act 1993"
"77","Advance Care Directives Act 2013","Advance Care Directives Act 2013"
"78","Advance Care Directives Act 2013","Consent to Medical Treatment and Palliative Care Act 1995"
"79","Advance Care Directives Act 2013","Coroners Act 2003"
"80","Advance Care Directives Act 2013","Fair Work Act 1994"
"81","Advance Care Directives Act 2013","Guardianship and Administration Act 1993"
"82","Advance Care Directives Act 2013","Health and Community Services Complaints Act 2004"
"83","Advance Care Directives Act 2013","Wills Act 1936"
"84","Aerodrome Fees Act 1998","Aerodrome Fees Act 1998"
"85","Aerodrome Fees Act 1998","Aerodrome Fees Act 1998"
"86","Age of Majority (Reduction) Act 1971","Administration and Probate Act 1919"
"87","Age of Majority (Reduction) Act 1971","Ballot Act 1862"
"88","Age of Majority (Reduction) Act 1971","Criminal Law Consolidation Act 1935"
"89","Age of Majority (Reduction) Act 1971","Law of Property Act 1936"
"90","Age of Majority (Reduction) Act 1971","Lottery and Gaming Act 1936"
"91","Age of Majority (Reduction) Act 1971","Motor Vehicles Act 1959"
"92","Aged and Infirm Persons Property Act 1940","Guardianship and Administration Act 1993"
"93","Agent-General Act 1901","Agent-General Act 1901"
"94","Agent-General Act 1901","Agent-General Act 1901"
"95","Agent-General Act 1901","Agent-General Act 1901"
"96","Agricultural and Veterinary Products (Control of Use) Act 2002","Livestock Act 1997"
"97","Air Navigation Act 1937","Air Navigation Act 1937"
"98","Air Navigation Act 1937","Air Navigation Act 1937"
"99","Air Navigation Act 1937","Air Navigation Act 1937"
"100","Aircraft Offences Act 1971","Aircraft Offences Act 1971"
"101","Aircraft Offences Act 1971","Aircraft Offences Act 1971"
"102","Alice Springs to Darwin Railway Act 1997","Alice Springs to Darwin Railway Act 1997"
"103","Alice Springs to Darwin Railway Act 1997","Alice Springs to Darwin Railway Act 1997"
"104","Anangu Pitjantjatjara Yankunytjatjara Land Rights Act 1981","Anangu Pitjantjatjara Yankunytjatjara Land Rights Act 1981"
"105","Anangu Pitjantjatjara Yankunytjatjara Land Rights Act 1981","Anangu Pitjantjatjara Yankunytjatjara Land Rights Act 1981"
"106","Anangu Pitjantjatjara Yankunytjatjara Land Rights Act 1981","Anangu Pitjantjatjara Yankunytjatjara Land Rights Act 1981"
"107","Animal Welfare Act 1985","Animal Welfare Act 1985"
"108","Animal Welfare Act 1985","Animal Welfare Act 1985"
"109","Animal Welfare Act 1985","Animal Welfare Act 1985"
"110","ANZ Executors and Trustee Company (South Australia) Limited (Transfer of Business) Act 1996","Trustee Companies Act 1988"
"111","ANZAC Day Commemoration Act 2005","ANZAC Day Commemoration Act 2005"
"112","ANZAC Day Commemoration Act 2005","ANZAC Day Commemoration Act 2005"
"113","ANZAC Day Commemoration Act 2005","ANZAC Day Commemoration Act 2005"
"114","ANZAC Day Commemoration Act 2005","Lottery and Gaming Act 1936"
"115","Aquaculture Act 2001","Aquaculture Act 2001"
"116","Aquaculture Act 2001","Aquaculture Act 2001"
"117","Aquaculture Act 2001","Aquaculture Act 2001"
"118","Aquaculture Act 2001","Environment Protection Act 1993"
"119","Aquaculture Act 2001","River Murray Act 2003"
"120","Aquaculture Act 2001","Adelaide Dolphin Sanctuary Act 2005"
"121","Aquaculture Act 2001","Fisheries Management Act 2007"
"122","Aquaculture Act 2001","Marine Parks Act 2007"
"123","Architectural Practice Act 2009","Architectural Practice Act 2009"
"124","Architectural Practice Act 2009","Architectural Practice Act 2009"
"125","Arkaroola Protection Act 2012","Arkaroola Protection Act 2012"
"126","Arkaroola Protection Act 2012","Arkaroola Protection Act 2012"
"127","Arkaroola Protection Act 2012","Development Act 1993"
"128","Arkaroola Protection Act 2012","Natural Resources Management Act 2004"
"129","Arkaroola Protection Act 2012","Pastoral Land Management and Conservation Act 1989"
"130","Art Gallery Act 1939","Art Gallery Act 1939"
"131","Art Gallery Act 1939","Art Gallery Act 1939"
"132","Assisted Reproductive Treatment Act 1988","Assisted Reproductive Treatment Act 1988"
"133","Assisted Reproductive Treatment Act 1988","Assisted Reproductive Treatment Act 1988"
"134","Associations Incorporation Act 1985","Associations Incorporation Act 1985"
"135","Associations Incorporation Act 1985","Associations Incorporation Act 1985"
"136","Associations Incorporation Act 1985","Associations Incorporation Act 1985"
"137","Australian Crime Commission (South Australia) Act 2004","Witness Protection Act 1996"
"138","Australian Energy Market Commission Establishment Act 2004","Australian Energy Market Commission Establishment Act 2004"
"139","Australian Energy Market Commission Establishment Act 2004","Australian Energy Market Commission Establishment Act 2004"
"140","Australian Energy Market Commission Establishment Act 2004","Australian Energy Market Commission Establishment Act 2004"
"141","Authorised Betting Operations Act 2000","Authorised Betting Operations Act 2000"
"142","Authorised Betting Operations Act 2000","Authorised Betting Operations Act 2000"
"143","Authorised Betting Operations Act 2000","Authorised Betting Operations Act 2000"
"144","Authorised Betting Operations Act 2000","Lottery and Gaming Act 1936"
"145","Bail Act 1985","Bail Act 1985"
"146","Bail Act 1985","Bail Act 1985"
"147","Bail Act 1985","Justices of the Peace Act 2005"
"148","Bail Act 1985","Cross-border Justice Act 2009"
"149","Ballot Act 1862","Ballot Act 1862"
"150","Benefit Associations Act 1958","Benefit Associations Act 1958"
"151","Benefit Associations Act 1958","Benefit Associations Act 1958"
"152","Bills of Sale Act 1886","Bills of Sale Act 1886"
"153","Bills of Sale Act 1886","Bills of Sale Act 1886"
"154","Bills of Sale Act 1886","Bills of Sale Act 1886"
"155","Biological Control Act 1986","Biological Control Act 1986"
"156","Biological Control Act 1986","Biological Control Act 1986"
"157","Births Deaths and Marriages Registration Act 1996","Coroners Act 2003"
"158","Births Deaths and Marriages Registration Act 1996","Burial and Cremation Act 2013"
"159","Births Deaths and Marriages Registration Act 1996","Relationships Register Act 2016"
"160","Blood Contaminants Act 1985","Blood Contaminants Act 1985"
"161","Blood Contaminants Act 1985","Blood Contaminants Act 1985"
"162","Botanic Gardens and State Herbarium Act 1978","Botanic Gardens and State Herbarium Act 1978"
"163","Botanic Gardens and State Herbarium Act 1978","Botanic Gardens and State Herbarium Act 1978"
"164","Botanic Gardens and State Herbarium Act 1978","Botanic Gardens and State Herbarium Act 1978"
"165","Boxing and Martial Arts Act 2000","Boxing and Martial Arts Act 2000"
"166","Boxing and Martial Arts Act 2000","Boxing and Martial Arts Act 2000"
"167","Boxing and Martial Arts Act 2000","Boxing and Martial Arts Act 2000"
"168","Boxing and Martial Arts Act 2000","Summary Offences Act 1953"
"169","Building and Construction Industry Security of Payment Act 2009","Building and Construction Industry Security of Payment Act 2009"
"170","Building and Construction Industry Security of Payment Act 2009","Building and Construction Industry Security of Payment Act 2009"
"171","Building and Construction Industry Security of Payment Act 2009","Building Work Contractors Act 1995"
"172","Building and Construction Industry Security of Payment Act 2009","Industrial Referral Agreements Act 1986"
"173","Building Work Contractors Act 1995","Building Work Contractors Act 1995"
"174","Building Work Contractors Act 1995","Building Work Contractors Act 1995"
"175","Building Work Contractors Act 1995","Building Work Contractors Act 1995"
"176","Building Work Contractors Act 1995","Building Work Contractors Act 1995"
"177","Building Work Contractors Act 1995","District Court Act 1991"
"178","Building Work Contractors Act 1995","Magistrates Court Act 1991"
"179","Building Work Contractors Act 1995","Building and Construction Industry Security of Payment Act 2009"
"180","Burial and Cremation Act 2013","Burial and Cremation Act 2013"
"181","Burial and Cremation Act 2013","Burial and Cremation Act 2013"
"182","Burial and Cremation Act 2013","Crown Land Management Act 2009"
"183","Burial and Cremation Act 2013","Burial and Cremation Act 2013"
"184","Burial and Cremation Act 2013","Burial and Cremation Act 2013"
"185","Burial and Cremation Act 2013","Adelaide Cemeteries Authority Act 2001"
"186","Burial and Cremation Act 2013","Transplantation and Anatomy Act 1983"
"187","Business Names Registration (Transitional Arrangements) Act 2012","Building Work Contractors Act 1995"
"188","Business Names Registration (Transitional Arrangements) Act 2012","Motor Vehicles Act 1959"
"189","Business Names Registration (Transitional Arrangements) Act 2012","Partnership Act 1891"
"190","Carers Recognition Act 2005","Carers Recognition Act 2005"
"191","Carers Recognition Act 2005","Carers Recognition Act 2005"
"192","Carers Recognition Act 2005","Disability Inclusion Act 2018"
"193","Carrick Hill Trust Act 1985","Carrick Hill Trust Act 1985"
"194","Carrick Hill Trust Act 1985","Carrick Hill Trust Act 1985"
"195","Carrick Hill Trust Act 1985","Carrick Hill Trust Act 1985"
"196","Casino Act 1997","Casino Act 1997"
"197","Casino Act 1997","Casino Act 1997"
"198","Casino Act 1997","Casino Act 1997"
"199","Character Preservation (McLaren Vale) Act 2012","Development Act 1993"
"200","Child Sex Offenders Registration Act 2006","Child Sex Offenders Registration Act 2006"
"201","Child Sex Offenders Registration Act 2006","Child Sex Offenders Registration Act 2006"
"202","Child Sex Offenders Registration Act 2006","State Records Act 1997"
"203","Child Sex Offenders Registration Act 2006","Freedom of Information Act 1991"
"204","Children and Young People (Oversight and Advocacy Bodies) Act 2016","Freedom of Information Act 1991"
"205","Children and Young People (Oversight and Advocacy Bodies) Act 2016","Health and Community Services Complaints Act 2004"
"206","Children and Young People (Oversight and Advocacy Bodies) Act 2016","Ombudsman Act 1972"
"207","Children and Young People (Safety) Act 2017","Family and Community Services Act 1972"
"208","Children and Young People (Safety) Act 2017","Criminal Law Consolidation Act 1935"
"209","Children and Young People (Safety) Act 2017","Family and Community Services Act 1972"
"210","Childrens Protection Act 1993","Health Care Act 2008"
"211","Childrens Protection Act 1993","Youth Justice Administration Act 2016"
"212","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Family and Community Services Act 1972"
"213","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Carers Recognition Act 2005"
"214","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Child Sex Offenders Registration Act 2006"
"215","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Family and Community Services Act 1972"
"216","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Coroners Act 2003"
"217","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Criminal Law Consolidation Act 1935"
"218","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Family and Community Services Act 1972"
"219","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Mental Health Act 2009"
"220","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Residential Tenancies Act 1995"
"221","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Spent Convictions Act 2009"
"222","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Summary Offences Act 1953"
"223","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Teachers Registration and Standards Act 2004"
"224","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Youth Court Act 1993"
"225","Childrens Protection Law Reform (Transitional Arrangements and Related Amendments) Act 2017","Youth Justice Administration Act 2016"
"226","City of Adelaide Act 1998","City of Adelaide Act 1998"
"227","City of Adelaide Act 1998","City of Adelaide Act 1998"
"228","City of Adelaide Act 1998","City of Adelaide Act 1998"
"229","City of Adelaide Act 1998","Adelaide Park Lands Act 2005"
"230","City of Adelaide Act 1998","Independent Commissioner Against Corruption Act 2012"
"231","Civil Liability Act 1936","Civil Liability Act 1936"
"232","Civil Liability Act 1936","Civil Liability Act 1936"
"233","Civil Liability Act 1936","Law of Property Act 1936"
"234","Civil Liability Act 1936","Defamation Act 2005"
"235","Civil Liability Act 1936","Dust Diseases Act 2005"
"236","Civil Liability Act 1936","Return to Work Act 2014"
"237","Classification (Publications Films and Computer Games) Act 1995","Classification of Theatrical Performances Act 1978"
"238","Classification of Theatrical Performances Act 1978","Classification of Theatrical Performances Act 1978"
"239","Classification of Theatrical Performances Act 1978","Classification of Theatrical Performances Act 1978"
"240","Climate Change and Greenhouse Emissions Reduction Act 2007","Climate Change and Greenhouse Emissions Reduction Act 2007"
"241","Climate Change and Greenhouse Emissions Reduction Act 2007","Climate Change and Greenhouse Emissions Reduction Act 2007"
"242","Coast Protection Act 1972","Coast Protection Act 1972"
"243","Coast Protection Act 1972","Coast Protection Act 1972"
"244","Coast Protection Act 1972","Adelaide Dolphin Sanctuary Act 2005"
"245","Coast Protection Act 1972","Marine Parks Act 2007"
"246","Collections for Charitable Purposes Act 1939","Collections for Charitable Purposes Act 1939"
"247","Collections for Charitable Purposes Act 1939","Collections for Charitable Purposes Act 1939"
"248","Collections for Charitable Purposes Act 1939","Collections for Charitable Purposes Act 1939"
"249","Commercial Arbitration Act 2011","Commercial Arbitration Act 2011"
"250","Commercial Arbitration Act 2011","Commercial Arbitration Act 2011"
"251","Commercial Arbitration Act 2011","Industrial Referral Agreements Act 1986"
"252","Commissioner for Kangaroo Island Act 2014","Commissioner for Kangaroo Island Act 2014"
"253","Commissioner for Kangaroo Island Act 2014","Commissioner for Kangaroo Island Act 2014"
"254","Commissioner of Public Works Incorporation Act 1917","Commissioner of Public Works Incorporation Act 1917"
"255","Commissioner of Public Works Incorporation Act 1917","Commissioner of Public Works Incorporation Act 1917"
"256","Community Housing Providers (National Law) (South Australia) Act 2013","Local Government Act 1999"
"257","Community Housing Providers (National Law) (South Australia) Act 2013","Residential Tenancies Act 1995"
"258","Community Housing Providers (National Law) (South Australia) Act 2013","Water Industry Act 2012"
"259","Community Titles Act 1996","Community Titles Act 1996"
"260","Community Titles Act 1996","Community Titles Act 1996"
"261","Community Titles Act 1996","Real Property Act 1886"
"262","Community Titles Act 1996","Land Agents Act 1994"
"263","Compulsory Third Party Insurance Regulation Act 2016","Compulsory Third Party Insurance Regulation Act 2016"
"264","Compulsory Third Party Insurance Regulation Act 2016","Compulsory Third Party Insurance Regulation Act 2016"
"265","Compulsory Third Party Insurance Regulation Act 2016","Motor Accident Commission Act 1992"
"266","Compulsory Third Party Insurance Regulation Act 2016","Motor Vehicles Act 1959"
"267","Compulsory Third Party Insurance Regulation Act 2016","Motor Vehicles Act 1959"
"268","Consent to Medical Treatment and Palliative Care Act 1995","Consent to Medical Treatment and Palliative Care Act 1995"
"269","Consent to Medical Treatment and Palliative Care Act 1995","Consent to Medical Treatment and Palliative Care Act 1995"
"270","Consent to Medical Treatment and Palliative Care Act 1995","Consent to Medical Treatment and Palliative Care Act 1995"
"271","Consent to Medical Treatment and Palliative Care Act 1995","Consent to Medical Treatment and Palliative Care Act 1995"
"272","Consent to Medical Treatment and Palliative Care Act 1995","Guardianship and Administration Act 1993"
"273","Consent to Medical Treatment and Palliative Care Act 1995","Advance Care Directives Act 2013"
"274","Consent to Medical Treatment and Palliative Care Act 1995","Advance Care Directives Act 2013"
"275","Consent to Medical Treatment and Palliative Care Act 1995","Consent to Medical Treatment and Palliative Care Act 1995"
"276","Consent to Medical Treatment and Palliative Care Act 1995","Consent to Medical Treatment and Palliative Care Act 1995"
"277","Consent to Medical Treatment and Palliative Care Act 1995","Consent to Medical Treatment and Palliative Care Act 1995"
"278","Constitution Act 1934","Constitution Act 1934"
"279","Constitution Act 1934","Constitution Act 1934"
"280","Constitution Act 1934","Constitution Act 1934"
"281","Constitution Act 1934","Constitution Act 1934"
"282","Construction Industry Long Service Leave Act 1987","Construction Industry Long Service Leave Act 1987"
"283","Construction Industry Long Service Leave Act 1987","Construction Industry Long Service Leave Act 1987"
"284","Construction Industry Long Service Leave Act 1987","Construction Industry Long Service Leave Act 1987"
"285","Construction Industry Training Fund Act 1993","Construction Industry Training Fund Act 1993"
"286","Construction Industry Training Fund Act 1993","Construction Industry Training Fund Act 1993"
"287","Controlled Substances Act 1984","Controlled Substances Act 1984"
"288","Controlled Substances Act 1984","Controlled Substances Act 1984"
"289","Controlled Substances Act 1984","Criminal Assets Confiscation Act 2005"
"290","Controlled Substances Act 1984","Health Care Act 2008"
"291","Controlled Substances Act 1984","Industrial Hemp Act 2017"
"292","Conveyancers Act 1994","Conveyancers Act 1994"
"293","Conveyancers Act 1994","Conveyancers Act 1994"
"294","Coroners Act 2003","Coroners Act 2003"
"295","Coroners Act 2003","Coroners Act 2003"
"296","Coroners Act 2003","Coroners Act 2003"
"297","Coroners Act 2003","Coroners Act 2003"
"298","Coroners Act 2003","Coroners Act 2003"
"299","Coroners Act 2003","Correctional Services Act 1982"
"300","Coroners Act 2003","Courts Administration Act 1993"
"301","Coroners Act 2003","Evidence Act 1929"
"302","Coroners Act 2003","Freedom of Information Act 1991"
"303","Coroners Act 2003","Harbors and Navigation Act 1993"
"304","Coroners Act 2003","Juries Act 1927"
"305","Coroners Act 2003","Road Traffic Act 1961"
"306","Coroners Act 2003","Summary Offences Act 1953"
"307","Coroners Act 2003","Transplantation and Anatomy Act 1983"
"308","Coroners Act 2003","Health Care Act 2008"
"309","Coroners Act 2003","Advance Care Directives Act 2013"
"310","Corporal Punishment Abolition Act 1971","Corporal Punishment Abolition Act 1971"
"311","Corporal Punishment Abolition Act 1971","Corporal Punishment Abolition Act 1971"
"312","Corporal Punishment Abolition Act 1971","Corporal Punishment Abolition Act 1971"
"313","Corporal Punishment Abolition Act 1971","Criminal Law Consolidation Act 1935"
"314","Correctional Services Act 1982","Correctional Services Act 1982"
"315","Correctional Services Act 1982","Correctional Services Act 1982"
"316","Correctional Services Act 1982","Correctional Services Act 1982"
"317","Correctional Services Act 1982","Coroners Act 2003"
"318","Correctional Services Act 1982","Justices of the Peace Act 2005"
"319","Correctional Services Act 1982","Justices of the Peace Act 2005"
"320","Cost of Living Concessions Act 1986","Cost of Living Concessions Act 1986"
"321","Cost of Living Concessions Act 1986","Cost of Living Concessions Act 1986"
"322","Cost of Living Concessions Act 1986","Cost of Living Concessions Act 1986"
"323","Cost of Living Concessions Act 1986","Cost of Living Concessions Act 1986"
"324","Cost of Living Concessions Act 1986","Land Tax Act 1936"
"325","Cost of Living Concessions Act 1986","Crown Land Management Act 2009"
"326","Cost of Living Concessions Act 1986","Water Industry Act 2012"
"327","Courts Administration Act 1993","Courts Administration Act 1993"
"328","Courts Administration Act 1993","Courts Administration Act 1993"
"329","Courts Administration Act 1993","Coroners Act 2003"
"330","Credit (Transitional Arrangements) Act 2010","Bills of Sale Act 1886"
"331","Credit (Transitional Arrangements) Act 2010","Second-hand Vehicle Dealers Act 1995"
"332","Credit (Transitional Arrangements) Act 2010","Stamp Duties Act 1923"
"333","Crimes at Sea Act 1998","Crimes at Sea Act 1998"
"334","Crimes at Sea Act 1998","Crimes at Sea Act 1998"
"335","Crimes at Sea Act 1998","Crimes at Sea Act 1998"
"336","Criminal Assets Confiscation Act 2005","Criminal Assets Confiscation Act 2005"
"337","Criminal Assets Confiscation Act 2005","Criminal Assets Confiscation Act 2005"
"338","Criminal Assets Confiscation Act 2005","Criminal Assets Confiscation Act 2005"
"339","Criminal Assets Confiscation Act 2005","Criminal Assets Confiscation Act 2005"
"340","Criminal Assets Confiscation Act 2005","Controlled Substances Act 1984"
"341","Criminal Assets Confiscation Act 2005","Criminal Law Consolidation Act 1935"
"342","Criminal Assets Confiscation Act 2005","Legal Services Commission Act 1977"
"343","Criminal Assets Confiscation Act 2005","Fisheries Management Act 2007"
"344","Criminal Investigation (Covert Operations) Act 2009","State Records Act 1997"
"345","Criminal Investigation (Covert Operations) Act 2009","Freedom of Information Act 1991"
"346","Criminal Investigation (Covert Operations) Act 2009","Surveillance Devices Act 2016"
"347","Criminal Law (Clamping Impounding and Forfeiture of Vehicles) Act 2007","Summary Offences Act 1953"
"348","Criminal Law (Forensic Procedures) Act 2007","State Records Act 1997"
"349","Criminal Law (Forensic Procedures) Act 2007","Summary Offences Act 1953"
"350","Criminal Law (Forensic Procedures) Act 2007","Child Sex Offenders Registration Act 2006"
"351","Criminal Law (Forensic Procedures) Act 2007","Summary Offences Act 1953"
"352","Criminal Law (High Risk Offenders) Act 2015","Bail Act 1985"
"353","Criminal Law (High Risk Offenders) Act 2015","Correctional Services Act 1982"
"354","Criminal Law Consolidation Act 1935","Criminal Law Consolidation Act 1935"
"355","Criminal Law Consolidation Act 1935","Criminal Law Consolidation Act 1935"
"356","Criminal Law Consolidation Act 1935","Criminal Law Consolidation Act 1935"
"357","Criminal Law Consolidation Act 1935","Criminal Law Consolidation Act 1935"
"358","Criminal Law Consolidation Act 1935","Criminal Assets Confiscation Act 2005"
"359","Criminal Law Consolidation Act 1935","Defamation Act 2005"
"360","Criminal Law Consolidation Act 1935","Justices of the Peace Act 2005"
"361","Criminal Law Consolidation Act 1935","Youth Justice Administration Act 2016"
"362","Criminal Procedure Act 1921","Criminal Procedure Act 1921"
"363","Criminal Procedure Act 1921","Criminal Procedure Act 1921"
"364","Criminal Procedure Act 1921","Criminal Procedure Act 1921"
"365","Criminal Procedure Act 1921","Criminal Procedure Act 1921"
"366","Criminal Procedure Act 1921","Fines Enforcement and Debt Recovery Act 2017"
"367","Cross-border Justice Act 2009","Cross-border Justice Act 2009"
"368","Cross-border Justice Act 2009","Cross-border Justice Act 2009"
"369","Cross-border Justice Act 2009","Correctional Services Act 1982"
"370","Cross-border Justice Act 2009","Young Offenders Act 1993"
"371","Cross-border Justice Act 2009","Youth Justice Administration Act 2016"
"372","Cross-border Justice Act 2009","Correctional Services Act 1982"
"373","Cross-border Justice Act 2009","Young Offenders Act 1993"
"374","Cross-border Justice Act 2009","Youth Justice Administration Act 2016"
"375","Cross-border Justice Act 2009","Cross-border Justice Act 2009"
"376","Cross-border Justice Act 2009","Bail Act 1985"
"377","Cross-border Justice Act 2009","Magistrates Court Act 1991"
"378","Cross-border Justice Act 2009","Youth Court Act 1993"
"379","Cross-border Justice Act 2009","Fines Enforcement and Debt Recovery Act 2017"
"380","Crown Land Management Act 2009","Crown Land Management Act 2009"
"381","Crown Land Management Act 2009","Crown Land Management Act 2009"
"382","Crown Land Management Act 2009","Real Property Act 1886"
"383","Crown Land Management Act 2009","Crown Land Management Act 2009"
"384","Crown Land Management Act 2009","Crown Land Management Act 2009"
"385","Crown Land Management Act 2009","National Parks and Wildlife Act 1972"
"386","Crown Land Management Act 2009","Petroleum and Geothermal Energy Act 2000"
"387","Crown Proceedings Act 1992","Crown Proceedings Act 1992"
"388","Crown Proceedings Act 1992","Crown Proceedings Act 1992"
